index,reward,V_reward,attitude_penalty,wm_penalty,beta_penalty,action_sum_penalty,action_penalty,steps
53,-1397.803181979892,-1216.7702192008023,-40.047092423534025,-702.8069872759503,-181.33867864489872,-160.3222169939531,-584.8462416318656,2000
54,-943.0931933276888,-829.2873282447504,-45.56889589186066,-745.258226591873,-247.39157671536924,-218.2030014440264,-480.5457928378198,2000
55,-2206.6093779517487,-1251.3230965717012,-161.8531478535909,-785.7691528965339,-256.45749429264544,-135.33648980236717,-546.6525796132212,2000
56,-2251.2802744432315,-1165.5225525096087,-159.18515474247513,-825.1931797369759,-284.11882045806027,-90.77306903067128,-484.6256855892241,2000
57,-1655.7363222644872,-1461.5197553041028,-89.84703322406921,-715.3649868964749,-59.525312828976745,-44.99412044205754,-531.446105763088,2000
58,-5116.366929538601,-1791.549571815608,-310.55771939579796,-1362.1337961868137,-966.721584615879,-283.45303444173845,-495.79182799238816,2000
59,-6134.855916274609,-1912.8613313471785,-460.0797530641647,-1522.0102536464947,-846.1700980312385,-113.84302976476167,-382.45477083857924,2000
60,-1077.310354371838,-702.9887339412794,-71.80649871502713,-806.5625007426049,-118.730501124624,-88.65443056820551,-478.4424505506893,2000
61,-4288.039398066417,-1724.4749906979164,-220.75919376933703,-1038.0137777046784,-586.7223619130068,-12.7144204048084,-537.5765429676619,2000
62,-1451.1509734303206,-1102.167344250794,-83.25794610484057,-714.9320723215445,-242.27341896106665,-194.99128212411006,-474.74525766882925,2000
63,-2488.5726643965613,-1520.2163015904384,-104.4451859690575,-726.5122247168126,-180.66478553990055,-109.61956627834854,-520.5070611292999,2000
64,-197.09712858702898,-762.1534311955164,-56.813607234785444,-544.4773765693857,-57.13921800083853,-217.6466927606771,-496.38839679545976,2000
65,-2334.5270111852587,-1211.6045270921927,-91.06426270626142,-891.2625561161915,-756.3338144296998,-22.585480790328756,-534.2223390276332,2000
66,-6209.643253731216,-1936.3448666026745,-477.79792648650516,-1527.186994416661,-823.311004921629,-54.955052810818465,-404.7536095687426,2000
67,-1894.4186373364912,-1258.3177093113509,-97.08468628956895,-724.9063248693479,-49.75571626839709,-122.50322209359878,-560.8694847714452,2000
68,-3006.876188694712,-1116.0725944896005,-187.64162123161668,-995.8278018925099,-579.5738538403224,-65.93171926621417,-546.7837277432865,2000
69,-949.3076865072679,-857.221461962652,-39.15119786171523,-712.2932427759378,-420.2727041912272,-189.11639946936944,-530.383118901807,2000
70,-1522.0151559994874,-1040.5622860201815,-127.70293535093444,-722.2202280493182,-79.97077022846959,-134.0985619811949,-488.9236319123152,2000
71,-1460.2644856725858,-1185.003357530357,-80.2134651278581,-740.2620028436619,-183.48402457306204,-130.35674456792458,-487.6901279843055,2000
72,-3.0263880497049716,-508.2737159803717,-56.09305935024158,-673.5814570451756,-47.85587550117585,-158.21695370001308,-474.7020521112157,2000
73,-169.6756890934295,-584.0480461837138,-46.08802471062115,-568.3566573818572,-30.976467593616935,-151.78278653854878,-458.0620163251668,2000
74,-867.485755944494,-988.5978475853782,-55.452885202602445,-646.6067412805637,-39.256887866549135,-243.88392459933507,-460.5309631531981,2000
75,-625.2730813379233,-673.9378731252399,-42.43043544349533,-677.0498912763214,-54.9416128638894,-272.3229492577633,-473.21303747790904,2000
76,-697.328663519648,-704.5906128195724,-46.378258766599984,-694.170872507048,-124.44146106177162,-195.60525545411508,-487.4077107044696,2000
77,-5129.828712425654,-1821.215077773586,-376.1758966746177,-1386.9561207841782,-504.05458197165,-96.48717443035558,-466.9774302786387,2000
78,-5631.955683750502,-1820.809595588035,-422.45255363060454,-1416.5752000831596,-694.1051161021061,-115.8209366767403,-407.2974778720396,2000
79,-2318.169983318359,-1176.2781343213635,-132.93222397296702,-786.6222656794123,-390.3697157242892,-34.939667918783876,-566.85489699084,2000
80,-1021.2889538282992,-1239.0534020980228,-66.64724627292645,-672.5011821976402,-66.03784341965127,-112.78625270603295,-615.5600768218532,2000
81,-615.9382787113067,-765.3988510327059,-53.76119712801355,-670.8817792532801,-103.03047202358617,-138.64553532795912,-468.70869316268187,2000
82,-830.5704624426202,-1176.3743374800888,-34.0494949876972,-657.7097445655118,-129.44234570798412,-99.03376377229826,-579.8269424855137,2000
83,-746.9405109060299,-1036.2306861799377,-41.44998922326988,-683.3952744218869,-146.84488551134896,-144.7138723431946,-537.3328817645985,2000
84,-765.9898647008191,-629.4170070312128,-47.475093641488904,-707.1821691623961,-191.38799167856033,-123.82794286393812,-482.9096582527184,2000
85,-1524.8200458057008,-911.9113613856267,-45.15964141991216,-925.0559608732733,-580.5264222338499,-21.713680083449567,-552.3293969771217,2000
86,-5984.982069393308,-1884.5652857659331,-443.8341457240467,-1492.673599634883,-838.5282466233446,-147.6872549059047,-457.63661961090907,2000
87,-1467.593426940143,-1278.9962925055538,-76.79357480971265,-729.8955980685469,-141.39008590739556,-45.307742146523275,-612.2422980798718,2000
88,-244.64822337388344,-532.9089053086583,-47.677807773352924,-676.4285930342697,-109.96218213870118,-125.27846352026505,-455.05518893204163,2000
89,-1280.4370784201121,-821.9047645606078,-43.19763442578332,-712.2247046858292,-281.1285323334132,-206.43736065043697,-505.8222726428167,2000
90,-1107.9344948531304,-1007.568524623677,-48.18311662239739,-700.9055693318604,-88.50569315007557,-120.97478905394784,-640.0853518272584,2000
91,-1578.1596201937198,-1315.4356322020155,-128.01581362051311,-758.4123461517172,-75.23272633682915,-96.68619646473522,-547.5179373651827,2000
92,-530.1244111875623,-641.0061226338273,-45.41431051362325,-605.6347446415868,-94.62207108567333,-217.88279567285548,-473.50382766884724,2000
93,-5872.274820898181,-1880.9762586912937,-435.2828172850074,-1439.5349542703054,-770.0835021559205,-106.31086744631241,-436.8745781854168,2000
94,-1638.1200792023346,-971.1916932342685,-80.24808020113036,-738.3046252359928,-124.98134191617736,-128.1562131783257,-492.1575770120805,2000
95,-965.4955196306746,-810.4279049298201,-61.18650963156293,-738.6536525731965,-100.7869649372815,-20.15222365634678,-564.8351176172215,2000
96,-1444.4062575458117,-1177.3630677622639,-63.24347171763258,-872.9647866342563,-262.52082930177147,-94.31744452958655,-553.1711898007445,2000
97,-911.4506941503257,-697.4192972519775,-65.04418818027379,-682.0782352259783,-129.48048093813622,-208.9917672888344,-463.71422102958843,2000
98,-1338.211972370996,-856.5317802309157,-25.337898589214316,-825.4327666151503,-466.3011160985736,-140.85448078861847,-533.6496686678589,2000
99,-1092.5578581860577,-722.4422436338492,-13.728335901335921,-708.1181225500666,-521.557873341997,-102.27899978657987,-504.58564420865974,2000
100,-1516.7010090062188,-887.9183907884236,-40.75429490970633,-862.8497216170083,-695.7917931578526,-154.3070028749546,-541.1811958186371,2000
101,-1334.106023354008,-717.023985046298,-34.212777218369794,-887.245002101104,-594.7625160226945,-116.99019226908,-510.57330733357185,2000
102,-5174.687366646632,-1844.0695128421762,-353.65291219857454,-1291.0251593664507,-733.8641587223577,-97.68016173762935,-542.6557557471922,2000
103,-1700.7070068808428,-1256.3219276058387,-40.224017213647016,-798.606802746638,-368.84532517493994,-88.22681589371595,-501.1810546891994,2000
104,-1230.4774691566768,-857.363304148891,-40.260378718080275,-740.0755932264169,-170.36974720693433,-112.53449713399026,-490.61842262133234,2000
105,-1691.53771405703,-596.00859743301,-82.69418452942696,-1009.5305242451694,-757.4838296207319,-49.938058888574545,-477.7978362401764,2000
106,-2366.1225566241433,-1421.2731946168888,-69.14534444432246,-860.267080039266,-438.91557940189557,-84.3210854261704,-559.3987990574129,2000
107,-1447.199318726101,-714.1409142067338,-90.43924011881765,-814.6008991600801,-269.5408337677882,-82.83486552473191,-469.03113523573995,2000
108,-1524.4273260759817,-819.819456818068,-99.45759948839626,-1024.654041257687,-576.2363801233869,-117.73670562599256,-503.3593985381008,2000
