index,reward,los_reward,wm_penalty,wm_dot_penalty,safety_penalty,steps
59,-3400.1790907570366,-3614.288864876054,-3.066694476529034,-10.082043506851512,-109.34136412662298,1540
60,-3557.4616781267096,-3778.155615133225,-3.207258920336877,-9.558650292338159,-113.65132770571788,1619
61,-3601.123931826003,-3793.384130485321,-4.687803670246216,-15.432217678959923,-114.66485497944703,1700
62,-3694.279255066902,-3907.401962784441,-4.334628505668467,-16.69536451088496,-112.94962800010865,1687
63,-3927.6990404920784,-4160.068942651874,-2.418503341161919,-8.37445777265468,-119.03872961543152,1756
64,-2979.0,-3161.1218866334166,-1.7840837450810278,-4.617977659241811,-104.3302625462767,1324
65,-3184.70568376035,-3385.1083412797043,-2.088525859576782,-6.626313565030609,-112.3093389712288,1424
66,-3167.7059462747784,-3373.2576881872874,-2.266992374568777,-6.15003602795886,-106.82896604319035,1410
67,-3197.25,-3415.845994286014,-2.891303727260066,-8.032594762685818,-112.54695413435107,1421
68,-3328.1413938607566,-3547.0422988303653,-2.7643207750302063,-8.844140013607678,-116.75787014743324,1488
69,-3087.0,-3303.0541063096234,-1.978390246964259,-5.938313676371425,-109.02462718416142,1372
70,-3204.3115431939577,-3411.7854934035036,-2.1108533513223944,-6.590264962008332,-107.06068263056414,1441
71,-3327.6370949225247,-3548.918148856466,-2.3834012203073343,-7.149062879067357,-111.86623606338473,1482
72,-2891.2618618114316,-3087.8897235294644,-1.8595051355693786,-3.276456300383171,-102.71898794742123,1292
73,-3103.8076725178107,-3310.681360633863,-3.1935836514502105,-7.60653900407598,-108.04215441169482,1380
74,-3784.8874444618873,-4007.474304043522,-4.321913558864208,-13.035813916911557,-115.75067261075338,1723
75,-3169.4052729302293,-3358.978129341325,-2.7304898501124466,-8.912022447255898,-107.11887210760216,1519
76,-3855.1743010274026,-4089.2022855090895,-4.328118645538902,-15.342073834289787,-128.41122660653318,1748
77,-3195.0520928544124,-3403.732830519325,-2.3920281955367604,-7.848985158636486,-105.79135820362826,1438
78,-3262.121957876152,-3441.69698884978,-3.0100958127800173,-7.381688982661085,-111.18380671769606,1486
79,-3264.7414666881155,-3486.6384724350924,-2.450342459660735,-7.131662226084632,-113.46498431773895,1451
