index,reward,range_reward,closing_reward,los_yaw_rate_reward,los_pitch_rate_reward,vertical_attack_reward,gimbal_center_reward,terminal_reward,steps
111,-8559.916670297453,-3000.0,-614.1219361241315,2084.39505981629,2579.7977949568613,-81.60280445276767,1524.531793441103,-9000.0,3000
112,-8664.902858495625,-3000.0,-942.4451254326799,2321.2608254914303,2301.6711018485576,11.991926561367828,1011.622327809351,-9000.0,3000
113,-8621.511952984469,-3000.0,-510.5259381586205,1891.2756305540374,2427.0575060318783,-71.14915906602127,1434.5847059916107,-9000.0,3000
114,-8498.312181904752,-3000.0,-455.17444407547583,2201.5897883376006,2493.9313978338964,-8.759665257071529,1697.6113303585614,-9000.0,3000
115,-8593.252820204945,-3000.0,-673.9455178446959,1979.1271145494545,2551.9885983580853,-36.72035912460659,1693.9673778481988,-9000.0,3000
116,-8611.960173980871,-3000.0,-453.6605223665508,1804.9862981290073,2474.626980223238,-64.256408523954,1524.736108699251,-9000.0,3000
117,-8528.33911748142,-3000.0,-587.1555374536748,2124.043006511874,2599.230341048301,-37.04529828261542,1653.9427584257076,-9000.0,3000
118,-8562.807954312537,-3000.0,-558.389438530177,2033.0240557272436,2571.329797694373,-76.1596905207432,1475.5311033121825,-9000.0,3000
119,-8547.628002847923,-3000.0,-795.0126659236934,2261.7055681590177,2614.6857008265238,-29.696067814550393,1516.2147839736397,-9000.0,3000
120,-9058.870012649062,-2999.9999999990923,-382.869000500231,1126.6750291805229,1471.768062396357,100.14310930994098,-12.442108772300132,-9000.0,3000
121,-9027.94376026888,-2999.9999999992956,-323.99502080491635,1138.1714931511192,1514.359625400328,99.51384528042716,65.12383487539712,-9000.0,3000
122,-8990.050102348468,-2999.999999999612,-296.6311406737043,1124.9209157718692,1587.9945942760164,93.02755113851833,414.77787775585426,-9000.0,3000
123,-8995.400074876481,-2999.999999999453,-328.9770133714451,1123.9807650189832,1585.7064234804884,129.34584814165663,405.89796557025846,-9000.0,3000
124,-9044.350934030288,-2999.999999999282,-346.21955186193367,997.7392436368204,1574.989891850776,62.97444685800744,299.7864242723058,-9000.0,3000
125,-9046.469742614272,-2999.999999999099,-376.65106195963546,996.9681897166956,1565.8925159690602,107.01017912082067,362.77849958415965,-9000.0,3000
126,-9038.11101778411,-2999.999999999097,-335.66662534352986,1136.0551586367633,1490.0073916548154,96.10367456630058,51.67185543040859,-9000.0,3000
127,-9076.87152485307,-2999.9999999991282,-405.19333072894256,943.8236793562066,1540.9427027251038,78.6417391831485,323.3353780779458,-9000.0,3000
128,-8997.186897918495,-2999.999999999586,-315.8203667351787,1236.7367679111862,1534.668844121712,98.3052221933755,72.84241981254577,-9000.0,3000
129,-9042.65712185879,-2999.9999999991446,-350.54186962536056,1123.783858986697,1498.449013265317,100.87573820896043,40.989273794907845,-9000.0,3000
130,-9024.966588545149,-2999.9999999994034,-351.188301926449,1033.8467578259085,1591.2363000480643,102.8891499010433,380.19510074487,-9000.0,3000
131,-9018.878066513013,-2999.999999999049,-316.8181648076999,1167.5234973646081,1487.8299699802396,142.72097110758898,112.02727534221161,-9000.0,3000
132,-9049.430103619834,-2999.9999999991537,-384.48188427330206,1136.0145538432112,1487.3326901382852,112.44912919996324,39.94594260074366,-9000.0,3000
133,-9036.670333355753,-2999.9999999993015,-358.49443277360996,1019.1184823777373,1588.2363238011674,75.10063408552212,321.86227236630646,-9000.0,3000
134,-9028.026584785826,-2999.9999999993506,-357.0411769823838,1007.6544165213685,1582.3797297544588,143.5678047778484,433.96644211653694,-9000.0,3000
135,-9020.986267061848,-2999.9999999993997,-323.8754847109204,1174.631730881213,1514.8681922535118,91.02220229410246,43.23294973821138,-9000.0,3000
136,-9012.711567628483,-2999.9999999993156,-339.42810313517543,1203.6964244955848,1506.6790744131388,136.6613324106675,91.89848289350864,-9000.0,3000
137,-9079.658389494718,-2999.9999999990387,-422.84166336455854,949.2588598294772,1543.143432167239,80.01157574622977,312.91804117482565,-9000.0,3000
138,-9075.593694856123,-2999.9999999987667,-391.9917285101738,1078.6365424357937,1457.174997711119,90.84617371290318,16.09865959041685,-9000.0,3000
139,-9070.111187312881,-2999.999999999132,-402.3276170348363,1043.675375512914,1516.8243810729725,78.88360287304536,80.78277814759149,-9000.0,3000
140,-9009.657764002166,-2999.9999999992156,-313.3723529846689,1180.5263229521174,1504.1604250795854,135.6607871523921,153.21404942280694,-9000.0,3000
141,-9022.391896493073,-2999.9999999993265,-336.5941642765288,1070.5947593848816,1580.5356836103117,82.78098229319129,276.8259676996216,-9000.0,3000
142,-9026.41368589151,-2999.999999999407,-349.052529118465,1051.6646879366826,1581.525306806126,85.66404584052685,336.53835548948706,-9000.0,3000
143,-9020.860576163825,-2999.999999999066,-340.1403080087954,1164.2997859462291,1483.7558360592827,196.49320591609262,111.80855770322235,-9000.0,3000
144,-8945.076621870161,-2999.999999999452,-361.0051787903976,1244.843117521756,1712.6452742183194,19.180714279461704,596.9867118769546,-9000.0,3000
145,-9058.15454346943,-2999.9999999995534,-426.39358695425517,1127.0699481092138,1452.2268926670783,43.749060236578686,415.4753917906847,-9000.0,3000
146,-8955.422034282488,-2999.9999999992074,-346.4960759327048,1339.5665814682993,1626.9367999553112,19.102831620530733,277.3185847498495,-9000.0,3000
147,-8955.516559631858,-2999.9999999996203,-294.4198728800054,1274.441863464914,1620.9053702530307,4.382313068806994,396.45284920211185,-9000.0,3000
148,-9115.002475707606,-2999.999999999365,-481.0705057879826,997.8769427603745,1445.2316485040683,-28.570690566992358,339.3090566922541,-9000.0,3000
149,-8971.090575621658,-2999.9999999995944,-327.04916617467336,1276.2721965159267,1583.368597036606,13.567812767058848,394.6130506174383,-9000.0,3000
150,-9068.17837054402,-2999.999999999351,-429.7874470898238,1109.0929055785016,1459.342262130662,-2.9111472420111046,376.74582462847314,-9000.0,3000
151,-8970.899813535107,-2999.999999999458,-310.94823965641433,1230.0779814965013,1608.3478004164585,10.6277274102135,428.8560716434176,-9000.0,3000
152,-8965.540303104268,-2999.9999999994634,-422.99449652481667,1232.3739601999284,1702.4611800349726,-6.617856203304423,645.5945605105702,-9000.0,3000
153,-8925.272181771108,-2999.999999999469,-394.6327135091235,1294.660174887396,1761.2591076585363,7.3265358613185,705.7277614765884,-9000.0,3000
154,-8974.786314386349,-2999.999999999417,-362.328461312668,1222.8155217807414,1639.558523320635,3.6939682855308513,496.6669735143301,-9000.0,3000
155,-8924.58706468137,-2999.9999999995093,-307.6138099848209,1308.052153766363,1662.0658388644017,80.923075553651,566.3924785631958,-9000.0,3000
156,-8971.624999361211,-2999.999999999124,-332.6618890257488,1284.5886796384173,1603.3405523901463,10.97205754289354,280.2726512728376,-9000.0,3000
157,-9037.09655805176,-2999.9999999995525,-358.9462034399216,1130.9852725799763,1454.4555351198887,78.80450885202112,413.2857208110174,-9000.0,3000
158,-9080.707331887073,-2999.999999999368,-426.3211335610219,1073.8408218869033,1438.6687297391911,-1.8493196130456597,375.84759476947886,-9000.0,3000
