index,reward,tracking_reward,stability_penalty,safety_penalty,steps
33458,-3147.922801335429,-3149.0089613209984,1.1890032180824492,-0.0,1500
33459,-2772.0759347624794,-2781.332617202938,9.52859530569964,-0.0,1500
33460,-2611.5672485539785,-2622.3491452810954,11.815906929858514,-0.0,1500
33461,-2936.5479858209596,-2948.328911786815,12.155780245131902,-0.0,1500
33462,-2668.3008655775184,-2676.962793269182,10.359806898567525,-0.0,1500
33463,-3093.9006730141227,-3094.7312180384833,0.9538434532920779,-0.0,1500
33464,-2537.2760211808595,-2559.2266506807678,22.893667994010645,-0.0,1500
33465,-3137.2645638069807,-3149.2294114488395,12.478044525566217,-0.0,1500
33466,-2745.3576668919077,-2754.3469635744846,9.154594197567668,-0.0,1500
33467,-3191.913762335451,-3200.7656425897712,9.157622063405839,-0.0,1500
33468,-3256.0172241167097,-3264.215435217669,9.65822423431328,-0.0,1500
33469,-2615.945949304556,-2625.8484522065282,11.61883005450241,-0.0,1500
33470,-2781.2794533356873,-2791.2646468929847,10.20467139632172,-0.0,1500
33471,-2976.3830905409623,-2986.8409318391023,10.814256156808026,-0.0,1500
33472,-3197.476391779867,-3204.436691882893,7.184377013170556,-0.0,1500
33473,-2921.4032961921525,-2934.696809663497,13.6902576394701,-0.0,1500
33474,-3147.3889085717597,-3154.9726109054236,7.784155310215266,-0.0,1500
33475,-2757.6731599705354,-2765.9900135939715,8.783746315034742,-0.0,1500
33476,-2656.7581975047055,-2677.7811606543887,21.44927772010113,-0.0,1500
33477,-3030.0404641909404,-3034.496411229544,4.628797852484177,-0.0,1500
33478,-3022.6289958336647,-3023.824054314648,1.2619219652277656,-0.0,1500
33479,-3212.5021293354785,-3221.378832871247,9.509734151399494,-0.0,1500
33480,-2683.3746099903806,-2694.08541063715,10.956845851021514,-0.0,1500
33481,-2734.4534517382745,-2743.075581944207,9.715722955193948,-0.0,1500
33482,-3168.826814196441,-3175.690766010165,6.988043653334766,-0.0,1500
33483,-3158.8330673393793,-3160.2539231733667,1.5717710116614045,-0.0,1500
33484,-2944.1385605741634,-2955.5451503635104,11.786963250751064,-0.0,1500
33485,-3301.411026412431,-3308.551325071776,7.500180894966506,-0.0,1500
33486,-3315.663212926613,-3322.280229169165,7.864045875816356,-0.0,1500
33487,-3140.652390508468,-3147.982158875099,7.733230127139376,-0.0,1500
33488,-2096.7351449775983,-2121.426352601607,24.963991744151173,-0.0,1500
33489,-2836.23375695157,-2848.6806462440563,12.822708677890308,-0.0,1500
33490,-2202.0113401293756,-2221.170439345747,19.547765356669146,-0.0,1500
33491,-3459.104465537136,-3462.0681021470255,3.2184560037156076,-0.0,1500
33492,-3081.8130374031425,-3092.388377458184,10.885150178016536,-0.0,1500
33493,-2924.0891037754923,-2932.5344318478215,9.627891693371929,-0.0,1500
33494,-3491.78781322332,-3493.142458902698,1.4743335962065642,-0.0,1500
33495,-2711.442445421329,-2716.6940397247095,5.352827690885506,-0.0,1500
33496,-3045.9515150049074,-3049.749293567959,4.126044497114346,-0.0,1500
