index,reward,path_reward,turn_reward,rate_reward,attitude_reward,beta_reward,alt_reward,vup_reward,speed_reward,progress_reward,action_penalty,beta_penalty,safety_penalty,steps
34,344.77420935483434,597.6826718881078,608.2932887671608,465.06500281407205,666.5867567355176,235.35839318922092,392.31834205967095,474.7674459260722,637.6276622627423,157.17237539946655,-142.33192706227254,-134.82135728300338,15.725042135780141,800
35,112.0516500389213,580.3007113184412,649.981266672395,555.6099033255534,399.3577056833069,324.7517337996381,26.393491643077287,74.13393513685507,555.8712442296213,99.34191988256998,-144.20468887296792,-95.39237963803639,59.17607936654442,800
36,-43.002399627521086,331.8893364931264,450.9104129441088,395.75304285777315,357.1293669649992,255.28325556474348,114.78558318111331,128.09810091339938,605.332202453185,18.52580546425592,-119.99264097744472,-129.07804160530182,42.60314638190059,800
37,-888.5355364093688,410.69045275767496,450.7561703011295,463.86463127149875,511.8693015423931,294.54338828442155,192.39753944292752,537.428945386689,628.696427917169,45.06333087389279,-113.08721512653594,-99.67134091091772,1853.8637088415237,800
38,76.03149862349686,482.5419185815125,481.6986228219978,431.8389775245623,364.3618881309414,243.50937592691804,302.583757291947,121.22415054283404,649.0279381519089,69.78828204007384,-128.20490863094653,-132.09507889667088,119.19432716005615,800
39,-195.99844090917446,262.47525394109186,440.3363086481537,455.8264851422543,375.12279243703836,311.1489803410371,157.08520851462853,235.81460819378356,675.8845190663327,78.1397532179941,-134.5465953819531,-100.53621138742622,344.54891462312247,800
40,90.56056002802073,445.9979098568674,621.3225939626946,478.9631615128782,471.37155564946005,266.7474305249997,130.30604897382898,50.09157920679472,629.3746827043451,154.2125499156783,-119.36243068746208,-117.2748671369743,83.23722988192188,800
41,-119.9539304060541,385.80384927133787,506.8010995413711,426.8074221705141,375.50372340775425,259.7100186340876,36.31509556888297,94.95151522471029,593.0543244705303,69.60821644216789,-150.58018750921195,-121.67450142591258,106.44690058747233,800
42,53.88265056591368,587.2255342499893,641.4613092153756,530.5552221990127,467.836141628345,309.0804695700791,248.61611192587748,444.6945985742874,508.0557443056254,135.75803032035557,-139.2969083414841,-105.31871030198047,268.04652525853754,800
43,210.25851423133352,539.0709867512123,577.9472467903986,490.72711460008685,634.9728988842165,268.66816812898895,216.52824155032013,618.5602425072257,621.726043828071,34.114173440602244,-147.126812463603,-123.61890935411353,28.86243167430688,800
