index,reward,los_reward,body_rate_penalty,body_accel_penalty,steps
77,133.12475909075945,159.8708068748868,-5.044327223192723,-13.481823362529449,133
78,1062.4611566687377,1254.4672544624177,-26.44279319306637,-70.08825831455016,556
79,1699.3379138460145,1987.0002686459343,-45.19676775094327,-99.55445220995955,717
80,414.0128197218813,491.8768206669333,-12.60267163382515,-34.29000421651368,305
81,1629.9205535130773,1911.991592093355,-44.51761461890735,-98.38676677141062,713
82,315.55293339666787,378.99984229210946,-13.868228876301265,-29.15470112671274,261
83,797.3627746880707,947.0029429330714,-22.899610134434294,-56.99454088377082,461
84,193.08836194300332,235.9025208616299,-6.2009368310752615,-17.403224347250283,165
85,1546.564966970326,1801.8405722391976,-44.18805401877841,-94.1566440629114,684
86,1293.850668776447,1516.1091255377385,-32.17141805794277,-78.12874330769728,589
87,263.99905598139026,314.08221162971626,-8.76020322758662,-26.26113130984537,242
88,78.82537489433228,96.36452406619209,-3.763632464569412,-8.698044924922092,100
89,486.34153179222955,581.9886671833706,-18.2963617543374,-39.39241750231149,338
90,1619.7127630633297,1891.9465096923118,-45.74502710683798,-96.1941641327979,710
91,1278.3322204627227,1499.321825402262,-39.08302854254076,-80.60884895317169,605
92,1316.9870599910237,1543.48255580061,-36.29263087093164,-81.90615052433064,606
93,1187.0874020084009,1391.961151340152,-32.240313372814484,-76.21908249410369,573
94,1243.7012904007747,1453.7850628912943,-31.510709186944837,-78.92491278903339,595
95,371.5212564124292,453.721027143275,-12.751130531827886,-29.15137075320545,261
96,61.63197014175779,71.54228902874806,-4.852837848393585,-13.39033500114036,144
97,292.8834593692523,350.86432007136096,-10.971451817538599,-27.491499163653625,249
98,891.3810566125992,1058.6857110226485,-28.369712316543403,-61.234100878684664,488
99,940.6708157474321,1115.8801962000264,-27.79487817846836,-65.1855454895307,515
100,1827.361510640397,2130.057925249335,-45.81677991221446,-106.89916445052263,774
101,1237.7116248632324,1464.3121001680272,-33.128192182553185,-77.81318541087322,592
102,325.51770040777967,389.91011745174853,-12.991098728620834,-29.2748447418716,259
103,1352.62720139014,1593.78701228883,-37.14554719476992,-86.6861335879637,649
104,1642.2545825454602,1915.4668329492408,-49.3723741764062,-97.64500205687526,718
105,1722.8982985178268,2019.8860167807397,-43.87737781698543,-101.58795145830393,736
106,848.0214607806115,1014.0394902328517,-27.0668551204036,-56.597137540419794,454
107,1742.7996273095882,2039.3384411234833,-47.40733491220295,-102.94620607509617,744
108,23.634258358382063,32.329161229710415,-3.524365126756929,-8.93692719220174,106
109,1545.8820692014215,1801.9281176135341,-42.260493571533324,-93.72260680538983,689
110,610.3168874995492,733.4711973860843,-16.190845474178143,-44.14927488412835,375
111,896.3310755790426,1073.968879987785,-24.76938409610361,-62.60005447876023,502
112,1482.4354839139855,1741.1882019712511,-41.359340042654225,-90.04755130223667,660
113,175.0300624560021,211.1123759151847,-6.24477045657198,-14.890287430872267,145
114,424.61518827511355,512.1927345433187,-13.751082125574339,-34.27684929051419,306
115,152.84836337818587,189.45567729215713,-11.221024811819722,-18.122235974484422,182
116,527.8828285132201,627.4399057889832,-17.115564153628373,-41.651160281020864,354
117,1092.7727468921967,1296.0009411784042,-28.794352021955145,-70.82376155694217,542
118,1045.8843352221165,1232.997329867224,-24.404188507003195,-67.97387757993535,528
119,1162.5006143221387,1379.6526476634656,-31.43568301532166,-76.14329136239414,586
120,614.8075007407285,736.7662669042883,-20.35450261263029,-43.819992362359955,373
