index,reward,los_yaw_reward,los_pitch_reward,range_reward,range_response_reward,body_rate_reward,action_smooth_reward,terminal_event_reward,steps
34,-10127.178709764807,3000.0,-2952.619991240505,2992.523076923075,-2582.8021423029068,-2247.567680710896,1146.156929811746,-10878,3000
35,-11331.278791067392,3000.0,-2952.615184261701,2998.676923076923,-2106.818075761925,-1797.3717383920875,1214.2702074100796,-12132,3000
36,-10533.8956788091,3000.0,-2952.6356860368737,2999.753846153846,-2421.279126893724,-2169.230870833475,1053.6246372106891,-11298,3000
37,-11655.469482830731,3000.0,-2952.6004481151963,3000.0,-1725.3508075565223,-2516.343363958599,1176.872204450758,-12450,3000
38,-10018.567374528793,3000.0,-2952.5426089899192,3000.0,-2496.611130024325,-1609.5029967979826,1321.1524317982485,-10806,3000
39,-9647.721749525044,3000.0,-2952.517690917399,2998.7692307692305,-1618.7510030659525,-2215.6910044812466,1361.5229526900057,-10464,3000
40,-9285.135103002993,3000.0,-2952.5357915541217,2995.6307692307682,-2220.3881236821644,-2113.3260457470647,1341.5417754214136,-10068,3000
41,-9464.35118436791,3000.0,-2952.628268790386,2185.826358438373,-1705.0634385893725,-2658.381437848114,2183.224566195743,-10014,3000
42,-10485.136115117775,3000.0,-2952.565323019001,2999.723076923077,-1776.6151309045256,-1842.8781648024985,1204.271927280118,-11304,3000
43,-10327.604678738318,3000.0,-2952.5779035128908,2999.6923076923076,-2052.5198719475607,-1315.9845498652107,1355.4643261330366,-11154,3000
44,-10241.451059872492,3000.0,-2952.340070415207,2996.9538461538455,-1818.918984991299,-2457.488222790191,1285.3600542484905,-11034,3000
45,-11161.584235107559,3000.0,-2952.6217907968303,2998.461538461538,-2165.6137571205586,-1621.622112240123,1127.437768902126,-11964,3000
46,-9285.031356117004,3000.0,-2952.579211703881,2250.8235786645027,-1751.4911465899743,-2663.329127075314,2157.654535815766,-9852,3000
47,-9843.571793954874,3000.0,-2952.581319207056,3000.0,-2299.521670539943,-2134.480450419633,1230.2373498524976,-10620,3000
48,-11117.425384010869,3000.0,-2952.59118107543,2999.9384615384615,-2324.511721293886,-1495.8395562952185,1136.3886051269437,-11916,3000
